participant_id,ISI,Seen,m,r
1001,17,0.09375,64,6
1001,26,0.171875,64,11
1001,34,0.375,64,24
1001,59,0.8125,64,52
1001,100,0.984375,64,63
1001,142,1,64,64
1001,200,1,64,64
1003,0,0.09375,64,6
1003,8.4,0.109375,64,7
1003,17,0.265625,64,17
1003,26,0.15625,64,10
1003,34,0.484375,64,31
1003,59,0.65625,64,42
1003,100,0.890625,64,57
1003,142,0.875,64,56
1003,200,0.9375,64,60
1004,0,0.359375,64,23
1004,8.4,0.390625,64,25
1004,17,0.390625,64,25
1004,26,0.375,64,24
1004,34,0.3125,64,20
1004,59,0.609375,64,39
1004,100,0.859375,64,55
1004,142,0.859375,64,55
1004,200,0.9375,64,60
1006,0,0.09375,64,6
1006,8.4,0.078125,64,5
1006,17,0.09375,64,6
1006,26,0.171875,64,11
1006,34,0.296875,64,19
1006,59,0.3125,64,20
1006,100,0.5625,64,36
1006,142,0.578125,64,37
1006,200,0.703125,64,45
9098,0,0.015625,64,1
9098,8.4,0,64,0
9098,17,0.015625,64,1
9098,26,0.046875,64,3
9098,34,0.234375,64,15
9098,59,0.890625,64,57
9098,100,0.984375,64,63
9098,142,1,64,64
9098,200,1,64,64
